mushroomName,edibility,commonName,preferredSearch,season,similarSpecies,description
Tricholoma terreum,,,,,,"Tricholoma terreum, commonly known as the grey knight or dirty tricholoma, is a grey-capped mushroom of the large genus Tricholoma. It is found in coniferous woodlands in Europe, and has also been encountered under introduced pine trees in Australia. It was historically regarded as edible, but in 2014, scientists discovered that it may be poisonous.

"
Ganoderma lucidum,yes,Lingzhi,,,,"The lingzhi mushroom is a species complex that encompasses several fungal species of the genus Ganoderma, most commonly the closely related species Ganoderma lucidum, Ganoderma tsugae, and Ganoderma lingzhi. G. lingzhi is frequently used in East Asia, where it has been used as a medicinal mushroom in traditional Chinese medicine for centuries."
Amanita fulva,yes*,Tawny Grisette,,,,"Amanita fulva, commonly called the tawny grisette, is a basidiomycete mushroom of the genus Amanita. It is found frequently in deciduous and coniferous forests of Europe, and possibly North America."
Amanita muscaria,yes**,FLY AGARIC,,"spring, summer, fall","Amanita caesarea, Amanita flavoconia, Amanita parcivolvata, Amanita xanthocephala","Amanita muscaria, commonly known as the fly agaric or fly amanita, is a basidiomycete mushroom, one of many in the genus Amanita. It is also a muscimol mushroom. Native throughout the temperate and boreal regions of the Northern Hemisphere, Amanita muscaria has been unintentionally introduced to many countries in the Southern Hemisphere, generally as a symbiont with pine and birch plantations, and is now a true cosmopolitan species. It associates with various deciduous and coniferous trees.
Arguably the most iconic toadstool species, the fly agaric is a large white-gilled, white-spotted, usually red mushroom, and is one of the most recognisable and widely encountered in popular culture.
Although classified as poisonous, reports of human deaths resulting from its ingestion are extremely rare. After parboiling—which weakens its toxicity and breaks down the mushroom's psychoactive substances—it is eaten in parts of Europe, Asia, and North America. Amanita muscaria is noted for its hallucinogenic properties, with its main psychoactive constituents being the compounds ibotenic acid and muscimol. The mushroom was used as an intoxicant and entheogen by the peoples of Siberia, and has a religious significance in these cultures. There has been much speculation on possible traditional use of this mushroom as an intoxicant in other places such as the Middle East, Eurasia, North America, and Scandinavia."
Amanita rubescens,yes*,BLUSHER,,"summer, fall","Amanita flavorubescens, Amanita brunnescens, Amanita franchetii, Amanita novinupta","The blusher is the common name for several closely related species of the genus Amanita. A. rubescens, found in Europe and eastern North America, and A. novinupta in western North America. Both their scientific and common names are derived from the propensity of their flesh to turn pink on bruising, or cutting.
The mushroom is edible. Readily recognizable by its pinkish color on the bottom of the stem, it is avoided by novice mushroomers as it can be confused with deadly poisonous species."
Coprinopsis atramentaria ,yes*,,,,,"Coprinopsis atramentaria, commonly known as the common ink cap or inky cap, is an edible (but sometimes poisonous, when combined with alcohol) mushroom found in Europe and North America. Previously known as Coprinus atramentarius, it is the second best known ink cap and previous member of the genus Coprinus after C. comatus. It is a widespread and common fungus found throughout the northern hemisphere. Clumps of mushrooms arise after rain from spring to autumn, commonly in urban and disturbed habitats such as vacant lots and lawns, as well as grassy areas. The grey-brown cap is initially bell-shaped before opening, after which it flattens and disintegrates. The flesh is thin and the taste mild. It can be eaten but is poisonous when consumed with alcohol – hence another common name, tippler's bane."
Russula claroflava,yes,Yellow Swamp Russula,,"summer, fall",Russula ochroleuca,"Russula claroflava, commonly known as the yellow swamp russula or yellow swamp brittlegill, is a basidiomycete mushroom of the genus Russula. It is found in wet places under birch and aspen woodlands across Europe and North America. It has a yellow cap, white gills and stipe and bruises grey. It is mild-tasting and regarded as good to eat."
Lepista saeva,yes*,Field Blewit,,"fall, winter","Cortinarius camphorates, Clitocybe nuda","Lepista personata (also recognised as Lepista saeva, Clitocybe saeva and Tricholoma personatum, and commonly known as the field blewit and blue-leg) is a species of edible fungus commonly found growing in grassy areas across Europe and is morphologically related to the wood blewit (Lepista nuda)."
Verpa bohemica,yes**,early false morel,,,"Morchella, Gyromitra esculenta, Verpa digitaliformis, Verpa conica","Verpa bohemica is a species of fungus in the family Morchellaceae. Commonly known as the early morel (or early false morel) or the wrinkled thimble-cap, it is one of several species known informally as a ""false morel"". The mushroom has a pale yellow or brown thimble-shaped cap—2 to 4 cm (0.8 to 1.6 in) in diameter by 2 to 5 cm (0.8 to 2.0 in) long—that has a surface wrinkled and ribbed with brain-like convolutions. The cap hangs from the top of a lighter-colored, brittle stem that measures up to 12 cm (4.7 in) long by 1 to 2.5 cm (0.4 to 1.0 in) thick. Microscopically, the mushroom is distinguished by its large spores, typically 60–80 by 15–18 µm, and the presence of only two spores per ascus.
In the field, the mushroom is reliably distinguished from the true morels on the basis of cap attachment: V. bohemica has a cap that hangs completely free from the stem. Although widely considered edible, consumption of the mushroom is generally not advised due to reports of poisoning in susceptible individuals. Poisoning symptoms include gastrointestinal upset and lack of muscular coordination. V. bohemica is found in northern North America, Europe, and Asia. It fruits in early spring, growing on the ground in woods following the snowmelt, before the appearance of ""true morels"" (genus Morchella). The synonym Ptychoverpa bohemica is often used by European mycologists."
Amanita virosa,no,Destroying Angel ,,,"Agaricus arvensis, Amanita bisporigera, Amanita verna, Amanita citrina, Russula virescens, Amanita fulva, Amanita phalloides","Amanita virosa, commonly known in Europe as the destroying angel, is a deadly poisonous basidiomycete fungus, one of many in the genus Amanita. Occurring in Europe, A. virosa associates with various deciduous and coniferous trees. The large fruiting bodies (i.e., the mushrooms) appear in summer and autumn; the caps, stipes and gills are all white in colour.
Immature specimens of A. virosa resemble several edible species commonly consumed by humans, increasing the risk of accidental poisoning. Small specimens may resemble the common Portobello mushroom to non-experts, but just one cap of A. virosa is enough to kill an adult person . The symptoms of poisoning comes generally several hours afterwards, a fact which makes this fungus even more problematic. Along with its geographical namesakes, A. virosa is one of the most poisonous of all known poisonous mushrooms; its principal toxic constituent α-amanitin damages the liver and kidneys, usually fatally."
Laccaria bicolor,yes,,,,,"Laccaria bicolor is a small tan-colored mushroom with lilac gills. It is edible, but not palatable, and grows in mixed birch and pine woods. It is found in the temperate zones of the globe, in late summer and autumn. L. bicolor is an ectomycorrhizal fungus used as a soil inoculant in agriculture and horticulture."
